Municipality,Population,Base Code,Stretch Code (Effective Date),Specialized Code (Effective Date)
Abington,"17,090",,7/1/2017,
Acton,"24,539",,1/1/2011,1/1/2024
Acushnet,"10,700",,1/1/2014,
Adams,"7,992",,1/1/2016,
Agawam,"28,749",,1/1/2017,
Alford,483,X,,
Amesbury,"17,617",,1/1/2014,
Amherst,"40,989",,1/1/2012,7/1/2024
Andover,"36,927",,1/1/2011,7/1/2026
Aquinnah,451,,7/1/2019,1/1/2024
Arlington,"47,112",,7/1/2011,1/1/2024
Ashburnham,"6,522",,7/1/2014,
Ashby,"3,270",,1/1/2014,
Ashfield,"1,685",,7/1/2012,1/1/2025
Ashland,"19,391",,1/1/2013,1/1/2025
Athol,"12,105",,1/1/2011,
Attleboro,"47,085",,1/1/2020,
Auburn,"17,323",,7/1/2013,
Avon,"4,801",X,,
Ayer,"9,010",,1/1/2012,
Barnstable,"49,831",,7/1/2026,
Barre,"5,631",,1/1/2012,
Becket,"1,922",,1/1/2011,
Bedford,"14,955",,1/1/2012,7/1/2024
Belchertown,"15,372",,1/1/2011,
Bellingham,"17,998",,1/1/2020,
Belmont,"27,442",,1/1/2012,1/1/2025
Berkley,"6,892",X,,
Berlin,"3,479",,1/1/2012,
Bernardston,"2,109",,7/1/2015,
Beverly,"43,223",,1/1/2012,1/1/2026
Billerica,"42,978",,7/1/2018,
Blackstone,"9,374",,1/1/2014,
Blandford,"1,209",,1/1/2017,
Bolton,"5,809",,1/1/2017,
Boston,"673,458",,7/1/2011,1/1/2024
Bourne,"20,508",,1/1/2022,
Boxborough,"5,565",,7/1/2020,
Boxford,"8,334",,7/1/2018,
Boylston,"5,064",X,,
Braintree,"39,134",,1/1/2021,
Brewster,"10,447",,7/1/2019,
Bridgewater,"29,167",,7/1/2012,
Brimfield,"3,733",,7/1/2017,
Brockton,"105,788",,1/1/2017,
Brookfield,"3,500",X,,
Brookline,"63,925",,1/1/2011,7/1/2023
Buckland,"1,818",,1/1/2012,
Burlington,"26,977",,7/1/2019,
Cambridge,"121,186",,7/1/2010,7/1/2023
Canton,"25,163",,7/1/2017,1/1/2027
Carlisle,"5,317",,1/1/2011,7/1/2024
Carver,"11,817",,7/1/2019,
Charlemont,"1,179",,7/1/2018,
Charlton,"13,606",,1/1/2017,
Chatham,"6,711",,7/1/2019,
Chelmsford,"36,953",,1/1/2011,7/1/2024
Chelsea,"40,245",,7/1/2017,
Cheshire,"3,190",,1/1/2020,
Chester,"1,221",,1/1/2018,
Chesterfield,"1,174",,1/1/2012,
Chicopee,"55,381",,1/1/2017,
Chilmark,"1,249",,7/1/2019,
Clarksburg,"1,637",,1/1/2017,
Clinton,"15,740",X,,
Cohasset,"8,532",,1/1/2016,
Colrain,"1,643",,1/1/2019,
Concord,"18,092",,1/1/2011,1/1/2024
Conway,"1,754",,7/1/2012,
Cummington,819,,10/30/2017,
Dalton,"6,198",,7/1/2015,
Danvers,"28,590",X,,
Dartmouth,"34,139",,1/1/2017,
Dedham,"25,485",,1/1/2011,1/1/2025
Deerfield,"5,177",,1/1/2012,
Dennis,"14,862",,7/1/2019,
Dighton,"8,275",,7/1/2018,
Douglas,"9,452",,7/1/2017,
Dover,"6,057",,1/1/2017,
Dracut,"32,972",,7/1/2018,
Dudley,"11,984",,7/1/2012,
Dunstable,"3,500",,1/1/2020,
Duxbury,"16,377",,7/1/2017,
East Bridgewater,"14,519",,7/1/2021,
East Brookfield,"2,237",X,,
East Longmeadow,"16,515",,1/1/2022,
Eastham,"5,824",,7/1/2021,1/1/2025
Easthampton,"16,020",,1/1/2011,1/1/2025
Easton,"25,568",,1/1/2011,
Edgartown,"5,328",,7/1/2021,
Egremont,"1,375",,1/1/2015,
Erving,"1,661",,1/1/2017,
Essex,"3,760",X,,
Everett,"51,825",,7/1/2015,
Fairhaven,"16,005",,7/1/2018,
Fall River,"94,689",X,,
Falmouth,"33,227",,1/1/2020,
Fitchburg,"42,145",,1/1/2017,
Florida,673,X,,
Foxborough,"18,791",X,,
Framingham,"73,361",,1/1/2014,7/1/2026
Franklin,"33,742",,1/1/2018,
Freetown,"9,380",X,,
Gardner,"21,381",,7/1/2011,
Georgetown,"8,558",,7/1/2019,
Gill,"1,553",,1/1/2011,
Gloucester,"30,491",,7/1/2011,
Goshen,942,,7/1/2015,
Gosnold,62,,7/1/2021,
Grafton,"20,352",,7/1/2017,
Granby,"6,064",,1/1/2012,
Granville,"1,540",,1/1/2017,
Great Barrington,"7,245",,1/1/2012,
Greenfield,"17,633",,1/1/2011,
Groton,"11,580",,7/1/2019,
Groveland,"6,849",X,,
Hadley,"5,284",,7/1/2021,
Halifax,"7,786",,1/1/2015,
Hamilton,"7,670",,1/1/2011,
Hampden,"4,964",X,,
Hancock,740,X,,
Hanover,"14,887",,1/1/2011,
Hanson,"10,719",,7/1/2011,
Hardwick,"2,722",,7/1/2016,
Harvard,"7,004",,1/1/2012,1/1/2025
Harwich,"13,620",,7/1/2018,
Hatfield,"3,321",,1/1/2011,
Haverhill,"68,291",,7/1/2018,
Hawley,352,,1/1/2017,
Heath,717,,7/1/2018,
Hingham,"24,414",,7/1/2018,1/1/2026
Hinsdale,"1,890",,7/1/2017,
Holbrook,"11,475",X,,
Holden,"20,326",X,,
Holland,"2,581",,1/1/2012,
Holliston,"15,347",,1/1/2015,
Holyoke,"37,838",,1/1/2011,
Hopedale,"6,063",,1/1/2021,
Hopkinton,"19,971",,1/1/2011,1/1/2025
Hubbardston,"4,433",,7/1/2019,
Hudson,"20,364",,7/1/2019,
Hull,"10,278",X,,
Huntington,"2,071",,1/1/2013,
Ipswich,"14,110",,1/1/2019,
Kingston,"14,462",,1/1/2011,
Lakeville,"12,262",,1/1/2012,
Lancaster,"8,993",,1/1/2011,
Lanesborough,"3,004",,7/1/2015,
Lawrence,"89,332",,1/1/2018,
Lee,"5,682",X,,
Leicester,"11,224",,7/1/2017,
Lenox,"5,072",,1/1/2011,
Leominster,"44,209",,7/1/2013,
Leverett,"1,863",,1/1/2011,
Lexington,"34,743",,1/1/2011,1/1/2024
Leyden,735,,7/1/2023,
Lincoln,"6,996",,1/1/2011,1/1/2024
Littleton,"10,495",,1/1/2016,
Longmeadow,"15,712",,7/1/2014,
Lowell,"120,418",,1/1/2011,
Ludlow,"21,118",,7/1/2026,
Lunenburg,"12,007",,7/1/2014,
Lynn,"103,489",,1/1/2020,
Lynnfield,"13,230",X,,
Malden,"66,693",,1/1/2017,
Manchester By The Sea,"5,467",,1/1/2014,
Mansfield,"24,077",,7/1/2021,
Marblehead,"20,576",,7/1/2018,
Marion,"5,341",X,,
Marlborough,"42,169",,1/1/2012,
Marshfield,"26,043",,7/1/2015,
Mashpee,"15,482",,1/1/2011,
Mattapoisett,"6,763",X,,
Maynard,"10,820",,7/1/2012,1/1/2024
Medfield,"13,334",,1/1/2017,
Medford,"59,898",,1/1/2011,7/1/2024
Medway,"13,836",,7/1/2011,
Melrose,"29,938",,1/1/2011,7/1/2024
Mendon,"6,441",,1/1/2012,
Merrimac,"6,810",,7/1/2018,
Methuen,"54,272",,1/1/2019,
Middleborough,"24,847",,7/1/2017,
Middlefield,397,,1/1/2012,
Middleton,"9,959",X,,
Milford,"30,640",X,,
Millbury,"14,173",,1/1/2012,
Millis,"9,338",,7/1/2016,
Millville,"3,187",,1/1/2013,
Milton,"28,811",,7/1/2011,1/1/2025
Monroe,115,X,,
Monson,"8,164",,1/1/2012,
Montague,"8,437",,1/1/2011,
Monterey,"1,085",,7/1/2019,
Montgomery,837,X,,
Mount Washington,157,X,,
Nahant,"3,338",,7/1/2018,
Nantucket,"14,670",,9/1/2019,
Natick,"37,316",,1/1/2011,7/1/2025
Needham,"32,931",,7/1/2019,7/1/2024
New Ashford,249,X,,
New Bedford,"101,318",,7/1/2017,
New Braintree,"1,010",,1/1/2018,
New Marlborough,"1,503",X,,
New Salem,"1,023",,7/1/2011,
Newbury,"6,880",,7/1/2020,
Newburyport,"19,163",,7/1/2011,7/1/2025
Newton,"90,700",,7/1/2010,1/1/2024
Norfolk,"11,962",,1/1/2018,
North Adams,"12,492",,7/1/2011,
North Andover,"32,135",,1/1/2017,
North Attleborough,"31,210",,1/1/2020,
North Brookfield,"4,797",X,,
North Reading,"16,379",X,,
Northampton,"31,315",,1/1/2011,1/1/2024
Northborough,"15,867",,7/1/2017,
Northbridge,"16,719",,1/1/2017,
Northfield,"2,880",,7/1/2013,
Norton,"19,392",,7/1/2019,
Norwell,"11,477",,1/1/2016,
Norwood,"31,764",,7/1/2019,7/1/2024
Oak Bluffs,"5,407",,7/1/2021,
Oakham,"1,914",X,,
Orange,"7,583",,1/1/2018,
Orleans,"6,485",,7/1/2018,
Otis,"1,619",X,,
Oxford,"13,503",,1/1/2020,
Palmer,"12,388",,1/1/2011,
Paxton,"5,043",X,,
Peabody,"55,418",,1/1/2024,
Pelham,"1,343",,1/1/2013,9/1/2025
Pembroke,"18,428",,7/1/2011,
Pepperell,"11,877",,1/1/2016,
Peru,798,,7/1/2018,
Petersham,"1,246",,7/1/2013,
Phillipston,"1,759",X,,
Pittsfield,"43,121",,7/1/2011,
Plainfield,649,,1/1/2017,
Plainville,"10,067",,7/1/2017,
Plymouth,"66,663",,1/1/2021,
Plympton,"2,964",,1/1/2013,
Princeton,"3,597",,7/1/2020,
Provincetown,"3,729",,7/1/2012,
Quincy,"103,434",,7/1/2011,
Randolph,"35,114",,1/1/2026,
Raynham,"15,861",X,,
Reading,"26,041",,1/1/2021,
Rehoboth,"13,537",,7/1/2019,
Revere,"60,702",,1/1/2012,
Richmond,"1,405",,1/1/2013,
Rochester,"5,936",X,,
Rockland,"17,708",,1/1/2013,
Rockport,"7,091",,1/1/2017,
Rowe,419,,7/1/2011,
Rowley,"6,334",,7/1/2020,
Royalston,"1,291",,1/1/2018,
Russell,"1,640",X,,
Rutland,"9,637",,7/1/2018,
Salem,"45,677",,1/1/2011,7/1/2024
Salisbury,"9,415",,1/1/2017,
Sandisfield,984,,1/1/2019,
Sandwich,"20,507",,1/1/2023,
Saugus,"29,029",,1/1/2016,
Savoy,655,X,,
Scituate,"19,598",,7/1/2011,
Seekonk,"15,912",,1/1/2019,
Sharon,"18,762",,7/1/2017,1/1/2025
Sheffield,"3,324",X,,
Shelburne,"1,874",,1/1/2018,
Sherborn,"4,485",,1/1/2012,1/1/2024
Shirley,"7,042",,7/1/2012,
Shrewsbury,"39,620",,1/1/2018,
Shutesbury,"1,717",,7/1/2011,5/31/2025
Somerset,"18,375",X,,
Somerville,"82,149",,1/1/2012,7/1/2023
South Hadley,"18,031",,7/1/2017,
Southampton,"6,181",,1/1/2017,
Southborough,"10,569",,1/1/2017,
Southbridge,"18,106",,1/1/2017,
Southwick,"9,277",,7/1/2021,
Spencer,"12,090",,7/1/2019,
Springfield,"154,888",,1/1/2011,
Sterling,"8,310",X,,
Stockbridge,"1,986",,1/1/2012,1/1/2026
Stoneham,"24,550",,7/1/2017,
Stoughton,"29,457",,7/1/2015,
Stow,"7,335",,1/1/2016,1/1/2024
Sturbridge,"10,097",,1/1/2019,
Sudbury,"19,805",,1/1/2011,9/1/2025
Sunderland,"3,628",,1/1/2013,
Sutton,"9,599",,1/1/2012,
Swampscott,"15,658",,1/1/2011,7/1/2024
Swansea,"17,537",X,,
Taunton,"61,936",X,,
Templeton,"8,387",,7/1/2019,
Tewksbury,"31,796",,1/1/2012,
Tisbury,"4,927",,1/1/2012,
Tolland,474,,1/1/2020,
Topsfield,"6,620",,1/1/2012,
Townsend,"9,220",,7/1/2012,
Truro,"2,484",,1/1/2012,1/1/2024
Tyngsborough,"12,779",,1/1/2011,
Tyringham,419,X,,
Upton,"8,475",,1/1/2015,
Uxbridge,"14,703",,7/1/2018,
Wakefield,"29,216",,7/1/2021,7/1/2024
Wales,"1,828",X,,
Walpole,"26,391",,1/1/2021,
Waltham,"65,849",,7/1/2012,
Ware,"10,142",,1/1/2017,
Wareham,"23,526",,7/1/2018,
Warren,"5,086",,1/1/2017,
Warwick,774,,1/1/2015,1/1/2026
Washington,497,,7/1/2018,
Watertown,"35,985",,7/1/2011,7/1/2023
Wayland,"14,054",,7/1/2011,1/1/2025
Webster,"17,817",,1/1/2018,
Wellesley,"31,242",,1/1/2012,1/1/2024
Wellfleet,"3,645",,1/1/2015,1/1/2024
Wendell,916,,1/1/2014,
Wenham,"4,945",,1/1/2011,1/1/2027
West Boylston,"7,938",,1/1/2020,
West Bridgewater,"7,771",X,,
West Brookfield,"3,917",,1/1/2018,
West Newbury,"4,680",,1/1/2014,
West Springfield,"29,028",,7/1/2016,
West Stockbridge,"1,323",,7/1/2020,
West Tisbury,"3,637",,1/1/2013,1/1/2025
Westborough,"22,643",,7/1/2018,1/1/2027
Westfield,"40,403",,1/1/2017,
Westford,"25,024",,7/1/2014,
Westhampton,"1,629",,1/1/2019,
Westminster,"8,509",,7/1/2012,
Weston,"11,827",,1/1/2012,7/1/2024
Westport,"16,705",,7/1/2018,
Westwood,"16,533",,1/1/2013,
Weymouth,"60,159",,7/1/2016,
Whately,"1,626",,7/1/2013,
Whitman,"15,459",,1/1/2016,
Wilbraham,"14,663",,7/1/2018,
Williamsburg,"2,475",,1/1/2012,1/1/2027
Williamstown,"9,189",,1/1/2011,
Wilmington,"23,802",X,,
Winchendon,"10,587",,1/1/2014,
Winchester,"23,953",,7/1/2011,7/1/2025
Windsor,817,,1/1/2016,
Winthrop,"18,739",,1/1/2013,
Woburn,"43,895",,1/1/2012,
Worcester,"211,286",,7/1/2011,7/1/2024
Worthington,"1,181",,7/1/2019,
Wrentham,"12,516",,1/1/2022,
Yarmouth,"25,208",,7/1/2018,
