Abington 17,062 Town Meeting adopted 5/22/17 7/1/2017
Acton 24,021 Town Meeting adopted 4/6/10 1/1/2011
Acushnet 10,559 Town Meeting adopted 5/20/13 1/1/2014
Adams 8,166 Town Meeting adopted 6/23/15 1/1/2016
Agawam 28,692 City Council adopted 9/19/16 1/1/2017
Amesbury 17,366 City Council adopted 1/8/13 1/1/2014
Amherst 39,263 Town Meeting adopted 5/23/11 1/1/2012
Andover 36,569 Town Meeting adopted 4/28/10 1/1/2011
Aquinnah 439 Town Meeting adopted 5/14/19 7/1/2019
Arlington 46,308 Town Meeting adopted 4/28/10 7/1/2011
Ashburnham 6,315 Town Meeting adopted 10/29/13 7/1/2014
Ashby 3,193 Town Meeting adopted 5/4/13 1/1/2014
Ashfield 1,695 Town Meeting adopted 9/29/11 7/1/2012
Ashland 18,832 Town Meeting adopted 5/1/12 1/1/2013
Athol 11,945 Town Meeting adopted 4/12/10 1/1/2011
Attleboro 46,461 City Council adopted 7/18/19 1/1/2020
Auburn 16,889 Town Meeting adopted 5/1/12 7/1/2013
Ayer 8,479 Town Meeting adopted 5/9/11 1/1/2012
Barre 5,530 Town Meeting adopted 6/20/11 1/1/2012
Becket 1,931 Town Meeting adopted 5/8/10 1/1/2011
Bedford 14,383 Town Meeting adopted 3/28/11 1/1/2012
Belchertown 15,350 Town Meeting adopted 5/10/10 1/1/2011
Bellingham 16,945 Town Meeting adopted 11/13/19 1/1/2020
Belmont 27,295 Town Meeting adopted 5/11/11 1/1/2012
Berlin 3,158 Town Meeting adopted 5/3/11 1/1/2012
Bernardston 2,102 Town Meeting adopted 10/8/14 7/1/2015
Beverly 42,670 City Council adopted 5/2/11 1/1/2012
Billerica 42,119 Town Meeting adopted 5/8/18 7/1/2018
Blackstone 9,208 Town Meeting adopted 5/28/13 1/1/2014
Blandford 1,215 Town Meeting adopted 5/2/16 1/1/2017
Bolton 5,665 Town Meeting adopted 5/2/16 1/1/2017
Boston 675,647 City Council adopted 11/17/10 7/1/2011
Bourne 20,452 Town Meeting adopted 11/15/21 1/1/2022
